Nombre,Restaurante,Kcal,Sodio(mg),Kcalml,mgNaml
McCafe Chocolate Shake,McDonald's,630,290,1.331428475,0.612879774
McCafe Vanilla Shake,McDonald's,600,200,1.268027119,0.422675706
McCafe Stawberry Shake,McDonald's,620,210,1.31029469,0.443809492
McFlurry with OREO,McDonald's,510,280,1.077823051,0.591745989
McFlurry with M&Ms,McDonald's,630,200,1.331428475,0.422675706
M&M,Johnny Rockets,1050,250,2.219047458,0.528344633
Banana,Johnny Rockets,850,220,1.796371752,0.464943277
Black Forest,Johnny Rockets,910,240,1.923174464,0.507210848
Butterfinger,Johnny Rockets,1030,250,2.176779887,0.528344633
Chocolate Banana,Johnny Rockets,930,230,1.965442034,0.486077062
Chocolate PB,Johnny Rockets,1020,360,2.155646102,0.760816271
Chocolate Strawberry,Johnny Rockets,900,240,1.902040678,0.507210848
Mocha Fudge,Johnny Rockets,1000,290,2.113378531,0.612879774
Strawberry Oreo,Johnny Rockets,950,370,2.007709605,0.781950057
Coffee,Johnny Rockets,970,240,2.049977176,0.507210848
Chocolate Vanilla,Johnny Rockets,910,230,1.923174464,0.486077062
Orange Dreamsicle,Johnny Rockets,740,160,1.563900113,0.338140565
Peanut Butter,Johnny Rockets,1100,480,2.324716385,1.014421695
Very Cherry,Johnny Rockets,890,230,1.880906893,0.486077062
Oreo Cookies & Cream,Johnny Rockets,1030,490,2.176779887,1.03555548
Unicorn Frapuccino,Unicorn Frapuccino,410,230,0.866485198,0.486077062
Cinnamon Dolce Frapuccino Blended Coffee,Starbucks,270,160,0.570612203,0.338140565
Coffe Light Frapuccino Blended Coffee,Starbucks,110,200,0.232471638,0.422675706
Double Chocolaty Chip Creme Frappuccinoe Blended Creme,Starbucks,420,270,0.887618983,0.570612203
Mocha Frapuccino Blended Coffee,Starbucks,410,240,0.866485198,0.507210848
Caffe Vanilla Frappuccino Blended Coffee,Starbucks,430,230,0.908752769,0.486077062
Caramel Cocoa Cluster Frappuccino Blended Coffee,Starbucks,450,300,0.951020339,0.634013559
The Pokemon GO Frappuccino Blended Beverage,Starbucks,450,240,0.951020339,0.507210848
Green Tea Creme Frappuccinoe Blended Creme,Starbucks,430,230,0.908752769,0.486077062
Java Chip Frappuccino Blended Coffee,Starbucks,470,260,0.99328791,0.549478418
Cotton CandyFrapuccino Blende Creme,Starbucks,430,250,0.908752769,0.528344633
Espresso Frapuccino Blended Coffee,Starbucks,230,200,0.486077062,0.422675706
Strawberries and Creme Frapuccino Blended Creme,Starbucks,370,210,0.781950057,0.443809492
Oprah Cinnamon Chai Creme Frapuccino Blended Creme,Starbucks,330,200,0.697414915,0.422675706
Vanilla Bean Creme Frappuccino Blended Creme,Starbucks,400,240,0.845351413,0.507210848
Banana Split Blizzard,Dairy Queen,580,220,1.225759548,0.464943277
Brownie Batter Blizzard,Dairy Queen,880,460,1.859773108,0.972154124
Brownie Cookie Dough Blizzard,Dairy Queen,1140,600,2.409251526,1.268027119
Butterfinger Blizzard,Dairy Queen,730,300,1.542766328,0.634013559
Chocolate Xtreme Blizzard,Dairy Queen,800,390,1.690702825,0.824217627
Cookie Dough Blizzard,Dairy Queen,1030,570,2.176779887,1.204625763
Heath Blizzard,Dairy Queen,860,430,1.817505537,0.908752769
M&Ms Blizzard,Dairy Queen,800,250,1.690702825,0.528344633
Oreo Cookies Blizzard,Dairy Queen,790,480,1.66956904,1.014421695
Peanut Butter Cookie Dough Smash Blizzard,Dairy Queen,1130,660,2.388117741,1.394829831
Reeses Peanut Butter Cups Blizzard,Dairy Queen,750,380,1.585033899,0.803083842
Salted Caramel Truffle Blizzard,Dairy Queen,1050,530,2.219047458,1.120090622
Oreo Shake,Burger King,1460,1100,3.085532656,2.324716385
Chocolate Oreo Shake,Burger King,1220,1120,2.578321808,2.366983955
Mint Oreo Shake,Burger King,1480,1080,3.127800227,2.282448814
Vanilla Milk shake,Burger King,1160,840,2.451519096,1.775237966
Chocolate Milk Shake,Burger King,1220,1000,2.578321808,2.113378531
Strawberry Milk Shake,Burger King,1280,880,2.70512452,1.859773108
Vanilla Frosty,Wendys,460,220,0.972154124,0.464943277
Chocolate Frosty,Wendys,460,210,0.972154124,0.443809492
Vanilla Shake,Carls Jr,700,240,1.479364972,0.507210848
Chocolate Shake,Carls Jr,700,300,1.479364972,0.634013559
Strawberry Shake,Carls Jr,700,250,1.479364972,0.528344633
Oreo Cookie Shake,Carls Jr,710,340,1.500498757,0.718548701
Vanilla Malt,Carls Jr,770,290,1.627301469,0.612879774
Chocolate Malt,Carls Jr,770,350,1.627301469,0.739682486
Strawberry Malt,Carls Jr,770,290,1.627301469,0.612879774
Oreo Cookie Malt,Carls Jr,780,390,1.648435255,0.824217627
Dunkaccino,Dunkin Donuts,400,384,0.845351413,0.811537356
Iced Caramel Mocha,Krispy Kreme,288,0,0.608653017,0
Frozen Vanilla Latte,Krispy Kreme,464,16,0.980607639,0.033814057
Frozen Mocha Latte,Krispy Kreme,320,16,0.67628113,0.033814057
Frozen Caramel Latte,Krispy Kreme,384,32,0.811537356,0.067628113
Iced Caramel Mocha,Krispy Kreme,288,0,0.608653017,0
Mocha Iced Coffee,Tim Hortons,202.13,101.07,0.427185425,0.213592713
Iced Coffee,Tim Hortons,147.01,82.69,0.310680309,0.174757674
